http://tr.wikipedia.org/wiki/Volkswagen_Touareg			2	Motor tipi	3,189 cc (194.6 cu in) V6___4,163 cc (254.0 cu in) V8___5,998 cc (366.0 cu in) W12___Motor tipi___2,460 cc (150.1 cu in) I5 Turbo___2,967 cc (181.1 cu in) V6 Turbo___4,921 cc (300.3 cu in) V10 Turbo"	"Motor tipi___4,163 cc (254.0 cu in) V8"	-15	2
http://fr.wikipedia.org/wiki/Gare_de_Creil		Voir aussi	0	Origine	Paris-Nord___Paris-Nord___Paris-Nord___Paris-Nord___Amiens___Terminus___Terminus___Terminus___Melun D2 (par Combs-la-Ville - Quincy)___Pontoise	Melun D2 (par Combs-la-Ville - Quincy)___Paris-Nord	-17	2
http://it.wikipedia.org/wiki/Grande_Slam_(rugby_XV)		Grande Slam nei tour rugbistici	2	Incontri	Inghilterra - Australia 3-19 Irlanda - Australia 9-16 Galles - Australia 9-28 Scozia - Australia 12-37___Galles - Nuova Zelanda 3-41 Irlanda - Nuova Zelanda 7-45 Inghilterra - Nuova Zelanda 19-23 Scozia - Nuova Zelanda 10-29___Scozia - Nuova Zelanda 6-32 Irlanda - Nuova Zelanda 3-22 Galles - Nuova Zelanda 9-29 Inghilterra - Nuova Zelanda 6-32___Inghilterra - Nuova Zelanda 16-22 Scozia - Nuova Zelanda 3-49 Irlanda - Nuova Zelanda 18-38 Galles - Nuova Zelanda 25-37	Inghilterra - Australia 3-19 Irlanda - Australia 9-16 Galles - Australia 9-28 Scozia - Australia 12-37___Galles - Nuova Zelanda 3-41 Irlanda - Nuova Zelanda 7-45 Inghilterra - Nuova Zelanda 19-23 Scozia - Nuova Zelanda 10-29	-13	0
http://en.wikipedia.org/wiki/List_of_ReGenesis_episodes		Season 4	2	Overview	David returns to Mexico to find Carlos; Mayko and Rachel get a lead in the mysterious outbreak in Hudson; Bob comes out of a medically induced coma with little memory of what happened to him at Roth's lab.___Wes is accidentally scratched by a needle tainted with a genetically engineered, virulent strain of Hepatitis C.___Bob continues to be haunted by memories of his time at Roth's lab; Wes insists that Rachel treat him with an experimental drug; a disease that's causing brain inflammation in a small town appears to be contagious.___After an experimental treatment nearly kills him, Wes reconsiders his job with NorBAC; a city councilor claims his daughter was poisoned by Muslim extremists.___NorBAC investigates a mysterious outbreak among cyclists competing in the Tour Cyclo Quebec; Bob embarks on a controversial treatment to deal with his brain infection.___A pharmaceutical company comes under fire when its new drug triggers a high incidence of congestive heart failure; David attempts to find a replacement for Wes; Bob suffers a seizure that triggers memories of a woman named Nina.___Bob tracks down Nina, but he makes a discovery that suggests the experiment on Nina is about to go terribly wrong; the team investigates unusual crow attacks.___A terrorist cell takes over the NorBAC lab and forces the scientists to produce a deadly measles mutation.___David ignores protocol and hires a new virologist, Enuka; Mayko is contacted by the parents of a sick child; as Nina becomes increasingly violent, the scientists try to find a way to deactivate her Jacobson's Organ.___When Enuka's nephew is murdered, forensic evidence leads the NorBAC team to investigate the unlikely existence of a prehistoric cat; a dramatic development complicates NorBAC's plans to deactivate Nina's Jacobson's Organ.___David discovers that Roth has given world leaders a stem cell treatment that leads to violent paranoia; while investigating an outbreak in Moldova, Carlos uncovers a horrific act of atrocity.___A glimpse into the future renews David's determination to stop the birth of the first human clone."	"When Enuka's nephew is murdered, forensic evidence leads the NorBAC team to investigate the unlikely existence of a prehistoric cat; a dramatic development complicates NorBAC's plans to deactivate Nina's Jacobson's Organ.___A pharmaceutical company comes under fire when its new drug triggers a high incidence of congestive heart failure; David attempts to find a replacement for Wes; Bob suffers a seizure that triggers memories of a woman named Nina."	-16.30434783	0
http://en.wikipedia.org/wiki/Dean_Geyer	Television	Filmography	3	Notes	""Environmental Superheroes"" ""Keep Australia Beautiful""___Main Cast; 244 episodes___""Everything Ain't What It Seems"" (Season 1, Episode 10)___Recurring; 12 episodes___Recurring Role (Season 4); 14 episodes"	"Everything Ain't What It Seems (Season 1, Episode 10)___""Environmental Superheroes"" ""Keep Australia Beautiful"""	-13.97826087	0
http://fr.wikipedia.org/wiki/Ligne_de_Libourne_au_Buisson			1	Vitesse limite autorails	90___70 (sens impair) 100 (sens pair)	90___70 (sens impair) 100 (sens pair)	-14	2
http://fi.wikipedia.org/wiki/Big_Brother_2007		Nime??mistaulukko	12	13. viikko	Sauli Riitta___Riitta Suvi___Jarkko (5) Riitta (5) Suvi (5)___Suvi	Jarkko (5) Riitta (5) Suvi (5)___Riitta Suvi	-15	0
http://en.wikipedia.org/wiki/R%F6yksopp		Reception and awards	2	Category	Best Music Video for ""Remind Me"" (Won) Spellemann Special Award (Won)___Best International Group (Nominated)___Best Pop Group (Won)___Best Club for ""The Understanding"" (Won)___Best Remixed Recording, Non-Classical for ""The Girl And The Robot (Jean Elan Remix)"" (Nominated)___Best Composer for ""Junior"" (Won) Best Electronic Album for ""Junior"" (Won)"	"Best Remixed Recording, Non-Classical for ""The Girl And The Robot (Jean Elan Remix)"" (Nominated)___Best Composer for ""Junior"" (Won) Best Electronic Album for ""Junior"" (Won)"	-13.63043478	0
http://it.wikipedia.org/wiki/Lul%C3%B9_l%27angelo_tra_i_fiori		Personaggi e Doppiaggio	2	Voce italiana	Massimo Rossi___Liliana Sorrentino (1^ voce) Rosalinda Galli (2^ voce)___Vittorio Di Prima___Cinzia De Carolis___Franco Latini___Fabio Boccanera___Riccardo Rossi___Carlo Cosolo___Sergio Luzi___Sergio Matteucci	Liliana Sorrentino (1^ voce) Rosalinda Galli (2^ voce)___Cinzia De Carolis	-17	0
http://en.wikipedia.org/wiki/List_of_New_Zealand_State_Highways		Current	1	From	Picton Ferry Terminal___SH 1 at Taupiri___SH 1 at Pokeno Junction (45 km south of Auckland)___SH 2 at Napier Airport___SH 3 near Waitara___SH 1 at Blenheim___SH 6 at Luggate___SH 8 at Deadmans Point	SH 1 at Pokeno Junction (45 km south of Auckland)___SH 8 at Deadmans Point	-13	0
http://en.wikipedia.org/wiki/Snooper_and_Blabber		Appearances on Quick Draw McGraw	2	Guest Character(s)	--___--___Mr. & Mrs. J. Evil Scientist___--___--	Mr. & Mrs. J. Evil Scientist___--	-16.65217391	1
http://ru.wikipedia.org/wiki/%D0%A4%D0%BE%D1%80%D0%BC%D1%83%D0%BB%D0%B0-1_%D0%B2_%D1%81%D0%B5%D0%B7%D0%BE%D0%BD%D0%B5_1989		?????????????? ?? ????????????	3	?????????€	Ford DFR 3,5 V8___Renault RS1 3,5 V10___Judd EV 3,5 V8___Ford DFR 3,5 V8___Judd CV 3,5 V8___Judd EV 3,5 V8___Ford DFR 3,5 V8___Ford DFR 3,5 V8 Ford HBA4 3,5 V8___Ford DFR 3,5 V8___Ford DFR 3,5 V8___Ford DFR 3,5 V8___Ferrari 035/5 3,5 V12___Lamborghini 3512 3,5 V12___Ford DFR 3,5 V8___Judd CV 3,5 V8___Yamaha OX88 3,5 V8___Ford DFR 3,5 V8___Ford DFR 3,5 V8___Ford DFR 3,5 V8"	"Ford DFR 3,5 V8 Ford HBA4 3,5 V8___Ford DFR 3,5 V8"	-13	0
http://en.m.wikipedia.org/wiki/List_of_equipment_of_the_Russian_Ground_Forces		VehiclesEdit	4	Notes	Mostly phased out of active service. Unknown number of vehicles in storage.___Up to 5,000 more in reserve/storage.___Up to 6,000 more in reserve/storage."	"Mostly phased out of active service. Unknown number of vehicles in storage.___Up to 6,000 more in reserve/storage."	-12.65217391	0
http://en.wikipedia.org/wiki/Tosh.0		Home video	4	Notes	Includes the last 16 episodes of season 2.___Includes the last 6 episodes of season 1 and the first 9 episodes of season 2.	Includes the last 16 episodes of season 2.___Includes the last 6 episodes of season 1 and the first 9 episodes of season 2.	-17	0
http://en.wikipedia.org/wiki/Pearl_Jam_(album)		Track listing	1	Title	""World Wide Suicide""___""Comatose""___""Severed Hand""___""Marker in the Sand""___""Parachutes""___""Unemployable""___""Big Wave""___""Gone""___""Wasted Reprise^II"" (Contains a reprise of Life Wasted)___""Army Reserve""___""Come Back""___""Inside Job"""	"Wasted Reprise^II (Contains a reprise of Life Wasted)___""Marker in the Sand"""	-15.32608696	0
http://en.wikipedia.org/wiki/Kenny_Rogers_discography		Collaboration albums	0	Title | US Country	Classics (with Dottie West)___What About Me? (with James Ingram and Kim Carnes)	Classics (with Dottie West)___What About Me? (with James Ingram and Kim Carnes)	-15	0
http://en.wikipedia.org/wiki/Speed_skating_at_the_1956_Winter_Olympics		Medal summary	1	Gold	Yevgeny Grishin Soviet Union (URS) Yuri Mikhaylov Soviet Union (URS)___Boris Shilkov Soviet Union (URS)___Sigvard Ericsson Sweden (SWE)	Yevgeny Grishin Soviet Union (URS) Yuri Mikhaylov Soviet Union (URS)___Boris Shilkov Soviet Union (URS)	-16	0
http://nl.wikipedia.org/wiki/Guillaume_Tell		Geselecteerde opnamen	3	Label	Great Opera Performances 715-CD 3 uitvoering van 1965, gezongen in het Italiaans___EMI Classics 7 69951 2, gezongen in het Frans___Decca Classics 437 154-2, gezongen in het Italiaans___Philips 422 391-2"	"Philips 422 391-2___Decca Classics 437 154-2, gezongen in het Italiaans"	-13	2
