http://pt.wikipedia.org/wiki/Atletismo_nos_Jogos_Ol%C3%ADmpicos_de_Ver%C3%A3o_de_2012_-_Salto_triplo_masculino		Qualifica????o	4	#1	17.17 (-0.4)___16.82 (-0.5)___17.00 (+0.6)___X___16.67 (-1.0)___16.56 (-0.5)___16.86 (-1.2)___16.59 (-1.3)___16.14 (0.0)___X___X	X___17.17 (-0.4)	-7.5625	2
http://en.wikipedia.org/wiki/List_of_QI_episodes		Series	4	Original airdate	22 December 2008___9 January 2009 10 January 2009 (XL edition)___16 January 2009 17 January 2009 (XL edition)___23 January 2009 24 January 2009 (XL edition)___30 January 2009 31 January 2009 (XL edition)___6 February 2009 7 February 2009 (XL edition)___13 February 2009 14 February 2009 (XL edition)___20 February 2009 21 February 2009 (XL edition)___27 February 2009 28 February 2009 (XL edition)___6 March 2009 7 March 2009 (XL edition)___20 March 2009 21 March 2009 (XL edition)	22 December 2008___6 February 2009 7 February 2009 (XL edition)	-5.533333333	2
http://en.wikipedia.org/wiki/Hawaii?tag=beachtent.biz-20		Geography and environment	4	Density	198.630/sq mi (76.692/km2)___1,597.46/sq mi (616.78/km2)___121.168/sq mi (46.783/km2)___28.250/sq mi (10.9074/km2)___22.313/sq mi (8.615/km2)___2.45/sq mi (0.944/km2)___0"	"0___1,597.46/sq mi (616.78/km2)"	-5.658333333	2
http://en.wikipedia.org/wiki/2007_College_Baseball_All-America_Team		All-Americans	7	Notes	Johnny Bench Award___Made BA team as DH, 74 career home runs (9th in Division I), Bronze Medal at 2008 Olympics___Collegiate Baseball Co-POY___2006 Collegiate Baseball POY"	"Made BA team as DH, 74 career home runs (9th in Division I), Bronze Medal at 2008 Olympics___Johnny Bench Award"	-10.13560705	0
http://de.wikipedia.org/wiki/Boeing-Stearman_PT-17		Technische Daten	1	Daten	7,63 m___2,8 m___Ein Continental R-670 mit 164 kW (220 PS)___880 kg___1230 kg___200 km/h___480 km___450 PS"	Ein Continental R-670 mit 164 kW (220 PS)___1230 kg	-7.690722897	2
http://en.wikipedia.org/wiki/A_roads_in_Zone_7_of_the_Great_Britain_numbering_scheme		Single and double digit roads	3	Notes	The Collins 2012 Collins Big Road Atlas shows the A70 as one of the five most dangerous roads in Scotland based on serious and fatal accidents between 2007 and 2009 in proportion to traffic. 74 miles (119 km) long.___Around 70 miles (112 km) long.___63 miles (101 km) long.___37 miles (60 km) long.___7.5 miles (12.1 km) long, making it the second shortest 2-digit A-road in the UK."	The Collins 2012 Collins Big Road Atlas shows the A70 as one of the five most dangerous roads in Scotland based on serious and fatal accidents between 2007 and 2009 in proportion to traffic. 74 miles (119 km) long.___37 miles (60 km) long.	-7.291820695	0
http://es.wikipedia.org/wiki/Anexo:Episodios_de_Elementary		Temporada 1 (2012-2013)	7	Audiencias	11.13 (millones, en EE.UU.)___10.91 (millones, en EE.UU.)___10.31 (millones, en EE.UU)___10.49 (millones, en EE.UU)___10.90 (millones, en EE.UU)___10.75 (millones, en EE.UU)___10.46 (millones, en EE.UU)___10.31 (millones, en EE.UU)___10.46 (millones, en EE.UU)___11.44 (millones, en EE.UU)___11.48 (millones, en EE.UU)___10.90 (millones, en EE.UU)___20.80 (millones, en EE.UU)___10.84 (millones, en EE.UU)___10.98 (millones, en EE.UU)___11.19 (millones, en EE.UU)___11.33 (millones, en EE.UU)___10.48 (millones, en EE.UU)___10.07 (millones, en EE.UU)___9.75 (millones, en EE.UU)___9.29 (millones, en EE.UU)___-___-"	#NAME?	-5.663768116	1
http://en.wikipedia.org/wiki/List_of_QI_episodes		Series	4	Original airdate	21 September 2012 22 September 2012 (XL edition)___28 September 2012 29 September 2012 (XL edition)___5 October 2012 6 October 2012 (XL edition)___12 October 2012 13 October 2012 (XL edition)___19 October 2012 20 October 2012 (XL edition)___26 October 2012 27 October 2012 (XL edition)___2 November 2012 3 November 2012 (XL edition)___9 November 2012 10 November 2012 (XL edition)___23 November 2012 24 November 2012 (XL edition)___30 November 2012 1 December 2012 (XL edition)___7 December 2012 8 December 2012 (XL edition)___14 December 2012 16 December 2012 (XL edition)___21 December 2012 29 December 2012 (XL edition)___28 December 2012___4 January 2013___11 January 2013 12 January 2013 (XL edition)___25 August 2013 31 August 2013 (XL edition) 24 July 2013 (in Australia)	25 August 2013 31 August 2013 (XL edition) 24 July 2013 (in Australia)___4 January 2013	-11.3125	2
http://es.wikipedia.org/wiki/Demograf%C3%ADa_de_Paraguay		Evoluci??n demogr??fica	4	1910-1919	350___-___3.128___-___4.696 (1914) 4.644 (1915) 4.942 (1916) 5.686 (1917)___6.306 (1927)___-___-___-___6.306	4.696 (1914) 4.644 (1915) 4.942 (1916) 5.686 (1917)___-	-6.008714597	1
http://fi.wikipedia.org/wiki/Boulevard_of_Broken_Dreams		Kappaleet	1	Nimi	Jesus of Suburbia"" I. ""Jesus of Suburbia"" II. ""City of the Damned"" III. ""I Don't Care"" IV. ""Dearly Beloved"" V. ""Tales of Another Broken Home___Holiday___Are We the Waiting___St. Jimmy___Boulevard of Broken Dreams"	"Jesus of Suburbia"" I. ""Jesus of Suburbia"" II. ""City of the Damned"" III. ""I Don't Care"" IV. ""Dearly Beloved"" V. ""Tales of Another Broken Home___Holiday"	-11.12060302	0
http://en.wikipedia.org/wiki/List_of_New_York_Undercover_episodes		Season 3 (1996?€?1997)	4	Written by	Denitria Harris-Lawrence___Story by: Reggie Rock Bythewood & Larry Moskowitz Teleplay by: Larry Moskowitz___Natalie Chaidez___Judith McCreary___Judith McCreary___Steven Phillip Smith___Reggie Rock Bythewood___Gar Anthony Haywood___Larry Moskowitz___Reggie Rock Bythewood & Jorge A. Reyes___Judith McCreary___Denitria Harris-Lawrence___Natalie Chaidez___Steven Phillip Smith___Larry Moskowitz___Reggie Rock Bythewood___Reggie Rock Bythewood___Judith McCreary___Denitria Harris-Lawrence___Larry Moskowitz___Steven Phillip Smith___Reggie Rock Bythewood___Judith McCreary	Story by: Reggie Rock Bythewood & Larry Moskowitz Teleplay by: Larry Moskowitz___Natalie Chaidez	-8.48089166	0
http://sv.wikipedia.org/wiki/Lista_%C3%B6ver_webbpubliceringssystem		Fri programvara med ??ppen k??llkod	3	Senaste utg??va	3.4 (15 maj 2011)___1.11.5 (23 mars 2013)___2.11.4 (12 juni 2012)___4.8.2 (19 mars 2008)___5.6.3 (5 juli 2011)___7.4 (30 jun 2011) 6.22 (25 maj 2011) 5.23 (11 aug 2010)___0.7.24 (23 sep 2010)___4.6 (29 sep 2011)___1.7.0 (1 juli 2010)___1.0.0 (2007) 2.9.6.3 (21 januari 2009)___1.5.23 (4 april 2011) 1.6.3 (18 april 2011)___6.0 (10 aug 2011)___4.6.3 (13 april 2008)___1.19.0 (2 maj 2012)___2.1 (1 januari 2011)___5.1___7.0.4 (3 mars 2008)___2.3.2 (19 juni 2009)___2.1.0 (9 april 2010)___0.1 (1 januari 2009)___4.4___6.0.2 (4 mars 2013)___3.4.2 (6 september 2012)___2.2	1.0.0 (2007) 2.9.6.3 (21 januari 2009)___5.1	-6.068364912	2
http://it.wikipedia.org/wiki/Boeing_777		Utilizzatori	3	777-200LR | Economy	-___- 63___24 24___-___36___24___-___36 -___24 40___-___36___- -___34___-___- - - - 42 -	- - - - 42 -___-	-6.25	1
http://pt.wikipedia.org/wiki/Indy_Japan_300		Vencedores	3	Equipe	Patrick Racing___Patrick Racing___Newman/Haas Racing___Team Rahal___Chip Ganassi Racing___Kelley Racing___Andretti-Green Racing___Andretti-Green Racing___Team Penske___Andretti-Green Racing___Andretti-Green Racing___Chip Ganassi Racing___Team Penske___Chip Ganassi Racing	Patrick Racing___Newman/Haas Racing	-7.15	0
http://en.wikipedia.org/wiki/List_of_mammals_of_Alaska		Bats	1	More information	As with other myotis species in Alaska, the California myotis often roosts in abandoned buildings and old mines; they may also be found roosting alone in trees or rock crevices. California bats have been observed hibernating in Southeast Alaska.___As with other myotis species in Alaska, Keen's myotis often roosts in abandoned buildings and old mines; they may also be found roosting alone in trees or rock crevices. It is suspected that it hibernates in Southeast Alaska.___The little brown bat is the most common and widespread bat in Alaska. As with other myotis species in Alaska, little brown bats often roost in abandoned buildings and old mines; they may also be found roosting alone in trees or rock crevices. Little brown bats have been observed hibernating in Southeast Alaska and Kodiak Island.___As with other myotis species in Alaska, the long-legged myotix often roosts in abandoned buildings and old mines; they may also be found roosting alone in trees or rock crevices. It is suspected that it hibernates in Southeast Alaska.___After the big brown bat, the silver-haired bats is the largest bat in Alaska. It is only found in Southeast Alaska, and only during winter. It roosts alone in trees."	"The little brown bat is the most common and widespread bat in Alaska. As with other myotis species in Alaska, little brown bats often roost in abandoned buildings and old mines; they may also be found roosting alone in trees or rock crevices. Little brown bats have been observed hibernating in Southeast Alaska and Kodiak Island.___After the big brown bat, the silver-haired bats is the largest bat in Alaska. It is only found in Southeast Alaska, and only during winter. It roosts alone in trees."	-11.25337487	0
http://en.wikipedia.org/wiki/Cyrina_Fiallo		Filmography	1	Title	Winter and Spring___Little Miss CEO___Quitters___Everybody Hates Chris___A Marriage___My Alibi___My Date___Delusions of Love: A Case Study in Jealousy and 19th Century Formal Wear___My Roommate the___Freeport___The Subpranos___Made... The Movie___Community___Gigantic___Friends 4ever___je vous adore___Switched at Birth___Good Luck Charlie___Supernatural	Delusions of Love: A Case Study in Jealousy and 19th Century Formal Wear___Quitters	-9.662929062	0
http://wikipedia.qwika.com/en2fr/Unit_Load_Device	le volume indiqu?? est volume interne ; ft?? - pieds cubes; m?? - m??tres cubes; BW - largeur basse ; W - largeur hors-tout	Types	0	R??cipients	LD3___LD6___LD8___LD11___Palettes___LD8___LD11___LD7(2 variantes de palette)	LD7(2 variantes de palette)___LD11	-6.333333333	2
http://en.wikipedia.org/wiki/Bad_Religion_discography		Albums	1	Title | AUS	Into the Unknown Released: November 30, 1983 Label: Epitaph Formats: LP, DD___Suffer Released: September 8, 1988 Label: Epitaph Formats: CD, LP, CS, DD___No Control Released: November 2, 1989 Label: Epitaph Formats: CD, LP, CS, DD___Against the Grain Released: November 23, 1990 Label: Epitaph Formats: CD, LP, CS, DD___Generator Released: March 13, 1992 Label: Epitaph Formats: CD, LP, CS, DD___Recipe for Hate Released: June 4, 1993 (original), September 21, 1993 (re-release) Label: Epitaph (original), Atlantic (re-release) Formats: CD, LP, CS, DD___The Gray Race Released: February 27, 1996 Label: Atlantic Formats: CD, LP, CS, DD___No Substance Released: May 5, 1998 Label: Atlantic Formats: CD, LP, CS, DD___The New America Released: May 9, 2000 Label: Atlantic Formats: CD, LP, CS, DD___The Process of Belief Released: January 22, 2002 Label: Epitaph Formats: CD, LP, CS, DD___The Empire Strikes First Released: June 8, 2004 Label: Epitaph Formats: CD, LP, DD___New Maps of Hell Released: July 10, 2007 Label: Epitaph Formats: CD, LP, DD___The Dissent of Man Released: September 28, 2010 Label: Epitaph Formats: CD, LP, DD___True North Released: January 22, 2013 Label: Epitaph Formats: CD, LP, DD"	"Recipe for Hate Released: June 4, 1993 (original), September 21, 1993 (re-release) Label: Epitaph (original), Atlantic (re-release) Formats: CD, LP, CS, DD___Into the Unknown Released: November 30, 1983 Label: Epitaph Formats: LP, DD"	-10.5405452	0
http://en.wikipedia.org/wiki/List_of_Tougeki_winners		2004	3	Character(s)	Sasquatch___Wolf Akira Kage___A Groove - Sakura/M. Bison(Vega JP)/Blanka C Groove - Edmond Honda/Sagat/Blanka A Groove - Sakura/M. Bison(Vega JP)/Blanka___Ken Chun-Li Yun___Jin Kazama___Suija___Millia Baiken Bridget	A Groove - Sakura/M. Bison(Vega JP)/Blanka C Groove - Edmond Honda/Sagat/Blanka A Groove - Sakura/M. Bison(Vega JP)/Blanka___Sasquatch	-9.183333333	0
http://id.wikipedia.org/wiki/Jim_Sturgess	Film	Filmografi	2	Peran	Red___Jude Feeny___George Boleyn___Ben Campbell___Martin McGartland___Gavin Kossef___Jamie Morgan___Janusz Wieszczek___Dexter Mayhew___James___Adam Ewing, Poor Hotel Guest, Megan's Dad, Highlander, Hae-Joo Chang, Adam-brother-in-law___Robert___Adam"	"Adam Ewing, Poor Hotel Guest, Megan's Dad, Highlander, Hae-Joo Chang, Adam-brother-in-law___Red"	-6.846153846	0
http://es.wikipedia.org/wiki/Iglesia_Cat%C3%B3lica_en_los_Estados_Unidos	U.S. Census [2]	Estad??sticas	3	"Cambio en % | -8,5%"	-7,5%___-2,6%___-1,1%___+2,5%___-0,4%___-0,1%___-7,7%___+0,4%___--___-0.1%___+0.3%___+0.4%___-0.1%___+0.2%___+0.4%___+0.2%___--___--___+0.3%___+1.7%___-0.4%___+1.2%___+0.3%___+0.3%___+0.3%___--___+0.1%___+6.6%"	"--___+2,5%"	-7.133333333	1
http://en.wikipedia.org/wiki/Elle_Fanning		Notable TV guest appearances	3	Notes	""Maxine Interrupted""___""Officer Blue""___""Need to Know""___2 episodes (guest role) ""The Boogeyman"" and ""No Way Out, Part II: The Evilution of Frank""___""Pilot"""	"2 episodes (guest role) ""The Boogeyman"" and ""No Way Out, Part II: The Evilution of Frank""___""Pilot"""	-6.538461538	0
http://en.m.wikipedia.org/wiki/Lists_of_landmark_court_decisions		Landmark decisions in CanadaEdit	5	Full text	[2]___[3]___[4]___[5].___[6]___R v Marshall (No 1)R v Marshall (No 2)___[7]___[8]___[9]___[10]___[11]___[12]___[13]___[14]___[15]___[16]___[17]___[18]___[19]___[20]___[21]___[22].___[23]	R v Marshall (No 1)R v Marshall (No 2)___[10]	-15.95169082	2
http://en.wikipedia.org/wiki/Merle_Curti_Award			1	Winner	Garry Wills___Paul E. Johnson___James T. Schleifer___George M. Fredrickson___Norman Fiering___Dino Cinel___Leo P. Ribuffo___Kerby A. Miller___James T. Kloppenberg___Jacquelyn Dowd Hall, James Leloudis, Robert Korstad, Mary Murphy, Lu Ann Jones and Christopher B. Daly___Edmund S. Morgan___James H. Merrell___David D. Hall___David R. Roediger___Robert B. Westbrook___W. Fitzhugh Brundage___Wilfred M. McClay___George Chauncey___Lance Banning___Robert A. Orsi___Rogers M. Smith___Woody Holton___Kimberly K. Smith___David W. Blight___Helen Lefkowitz Horowitz___Colin G. Calloway___Steven Mintz___Elizabeth Borgwardt___Scott Reynolds Nelson___Marcus Rediker___Vincent Brown___Laura Dassow Walls"	"Jacquelyn Dowd Hall, James Leloudis, Robert Korstad, Mary Murphy, Lu Ann Jones and Christopher B. Daly___Garry Wills"	-15.58318614	0
http://es.wikipedia.org/wiki/Anexo:Cazas_de_la_Segunda_Guerra_Mundial		Cazas con motores de explosi??n	2	Monoplanos	Boeing P-26 Peashooter Consolidated P-30 Seversky P-35 Brewster F2A Buffalo Republic P-43 Lancer___Nakajima Tipo 91 Mitsubishi A5M Nakajima Ki-27___Fokker D.XXI___PZL P.11___Hawker Hurricane___Polikarpov I-16___Ikarus IK-2	Boeing P-26 Peashooter Consolidated P-30 Seversky P-35 Brewster F2A Buffalo Republic P-43 Lancer___PZL P.11	-12.49917364	2
http://en.wikipedia.org/wiki/A_Fazenda_5		Format	2	Sent to the Barn	Leo, Rodrigo, Sylvinho, Vava___Angela, Diego, Viviane___Angela, Gretchen, Nicole, Viviane (This week the contestants who were sent to the barn were defined by a challenge, not by Rodrigo's choice.)___Nicole, Penelope, Robertha, Simone___Angela, Leo, Vava___Diego, Felipe, Nicole, Penelope___Nicole, Penelope, Vava___Leo, Simone___Leo, Nicole, Robertha, Viviane___(none)"	"Angela, Gretchen, Nicole, Viviane (This week the contestants who were sent to the barn were defined by a challenge, not by Rodrigo's choice.)___(none)"	-5.747581003	0
